Code,Descirption
93097,"Aaya/Dhai, services"
26993,"Abrasive powder or grain on a base of paper board etc., manufacturing"
26993,"Abrasive powder or grain on a base of paper, manufacturing"
26993,"Abrasive powder or grain on a base of textile materials, manufacturing"
29199,"Accessories and parts for general purpose machinery, manufacturing"
35123,"Accessories and parts for pleasure and sporting boats, manufacturing"
29268,"Accessories and parts of all types of machinery for apparel production, manufacturing"
29268,"Accessories and parts of all types of machinery for leather production, manufacturing"
29268,"Accessories and parts of all types of machinery for textile, manufacturing"
55104,"Accommodation services (dormitories), at camping site"
55104,"Accommodation services (hostels), by educational institutions"
55104,"Accommodation services (residence halls), at camping site"
55102,Accommodation services (room) by religious / charitable organisations
55103,"Accommodation services (room), company / public sector undertaking etc. guest house"
55102,"Accommodation services (room), dharamshalas"
55103,"Accommodation services (room), government guest / rest houses"
55101,"Accommodation services (room), hotels"
55102,"Accommodation services (room), inn"
55101,"Accommodation services (room), motels"
55109,Accommodation services n.e.c.
36920,"Accordions, manufacturing"
74120,"Accounting and book-keeping, activities"
30003,"Accounting machines, manufacturing"
24115,"Acetic acid, manufacturing"
24111,"Acetylene refrigerate gases, manufacturing"
24118,"Acid oils from refining and industrial fatty alcohols, manufacturing"
24118,"Acid oils from refining and industrial fatty alcohols, manufacturing"
2004,"Acorns, gathering from forest"
15439,"Activities (other), relating to chocolate confectionery manufacturing"
15439,"Activities (other), relating to cocoa confectionery manufacturing"
15439,"Activities (other), relating to sugar confectionery manufacturing"
92112,Activities allied to film distribution
67190,Activities auxiliary to financial intermediation n.e.c.
67200,Activities auxiliary to insurance and pension funding
74920,Activities by private detective agencies
65110,Activities by Reserve Bank of India (Central Banking)
1403,"Activities establishing a crop, promoting its growth or protecting it from disease and insects"
92149,"Activities nec, of dramatic arts,  music and others"
85196,Activities of   independent blood banks
93097,Activities of aaya
74120,Activities of accounting and book-keeping
92311,Activities of archives
91120,Activities of association of doctors
91120,Activities of association of lawyers
91120,Activities of association of painters
91120,Activities of association of writers
91200,Activities of associations of employees/trade unions like INTUC/CITU etc.
93096,Activities of astrological and spiritualists
92312,Activities of Audio / Video cassette / CD Rom / CVD & DVD libraries
92143,Activities of authors
75144,"Activities of autonomous bodies like Telephone Regulatory Authority of India, VSNL"
85191,Activities of Ayurveda practitioners
93097,Activities of baby sitter etc.
91990,Activities of book clubs
92490,Activities of booking agencies in connection with theatrical production or other entertainment / attraction
74930,Activities of building-cleaning
91110,Activities of business and employers organizations
74140,Activities of business and management consultancy
55204,Activities of caterers
91110,Activities of chambers of commerce
65992,Activities of Chit fund/Kuri companies
65923,Activities of commercial loan companies.
51109,Activities of commission agents n.e.c.
75302,"Activities of compulsory social security, of State Govt."
75301,"Activities of compulsory social security, of Union Govt."
75231,"Activities of CRPF, CISF etc"
72901,Activities of cyber cafe
92142,Activities of dancers
93097,Activities of dhai
99000,Activities of European Commission
99000,Activities of Extra territorial organizations and bodies
91110,Activities of federations
93097,Activities of governess
65921,Activities of hire- purchase financing
85193,Activities of homeopaths
65922,Activities of housing finance companies.
85195,Activities of independent diagnostic/pathological laboratories
91110,Activities of industrial associations
74930,Activities of industrial cleaning
92311,Activities of information centres
80904,Activities of institutions like NIIT/APTEC etc. imparting Computer Courses
99000,Activities of International Monetary Fund
99000,Activities of international organizations n.e.c.
91120,Activities of journalists and other similar organizations
92311,Activities of librarians
